type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,The Free Man,Toa Fraser,2016,TV-PG,"Documentaries, Sports Movies",84,
Movie,The Frozen Ground,Scott Walker,2013,R,"Dramas, Thrillers",106,
TV Show,The Furchester Hotel,,2015,TV-Y,"British TV Shows, Kids' TV",,2
TV Show,The Future of Water,,2007,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",,1
Movie,The Gathering,Nia Dinata,2003,TV-14,"Comedies, Dramas, International Movies",124,
Movie,The Gentleman Driver,Mario Mattei,2018,TV-MA,"Documentaries, Sports Movies",83,
Movie,The Ghost Who Walks,Cody Stokes,2019,TV-MA,"Dramas, Independent Movies, Thrillers",107,
Movie,The Girl with the Dragon Tattoo,David Fincher,2011,R,"Dramas, Thrillers",158,
TV Show,The Golden Years with Javed Akhtar,,2016,TV-G,"Docuseries, International TV Shows",,1
Movie,The Golem,"Doron Paz, Yoav Paz",2018,TV-MA,"Horror Movies, Independent Movies, International Movies",95,
Movie,The Good Catholic,Paul Shoulberg,2017,PG-13,"Comedies, Dramas, Romantic Movies",97,
Movie,The Good Neighbor,Kasra Farahani,2016,TV-MA,"Dramas, Independent Movies, Thrillers",97,
Movie,"The Goods: Live Hard, Sell Hard",Neal Brennan,2009,R,Comedies,89,
Movie,The Gospel of John,David Batty,2014,TV-14,"Dramas, Faith & Spirituality",161,
Movie,The Gospel of Luke,David Batty,2015,TV-14,"Dramas, Faith & Spirituality",205,
Movie,The Gospel of Mark,David Batty,2015,TV-14,"Dramas, Faith & Spirituality",123,
Movie,The Gospel of Matthew,David Batty,2014,TV-14,"Dramas, Faith & Spirituality",190,
Movie,The Great Battle,,2018,TV-MA,"Action & Adventure, Dramas, International Movies",136,
TV Show,The Great British Baking Show: Masterclass,,2018,TV-PG,"British TV Shows, Reality TV",,4
Movie,The Great Gambler,Shakti Samanta,1979,TV-14,"Action & Adventure, Classic Movies, Cult Movies",161,
Movie,The Great Raid,John Dahl,2005,R,"Action & Adventure, Dramas",133,
TV Show,The Great Train Robbery,,2013,NR,"British TV Shows, Crime TV Shows, International TV Shows",,1
Movie,The Green Hornet,Michel Gondry,2011,PG-13,"Action & Adventure, Comedies",119,
TV Show,The Guild,,2013,TV-MA,TV Comedies,,1
Movie,The Hatred,Michael G. Kehoe,2017,R,Horror Movies,94,
Movie,The Haunting of Molly Hartley,Mickey Liddell,2008,PG-13,"Horror Movies, Thrillers",85,
Movie,The Healer,Paco Arango,2017,TV-14,"Children & Family Movies, Dramas, Faith & Spirituality",108,
Movie,The Heat: A Kitchen (R)evolution,Maya Gallus,2018,TV-MA,Documentaries,71,
Movie,The Help,Tate Taylor,2011,PG-13,Dramas,147,
