type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,Mujhse Shaadi Karogi,David Dhawan,2004,TV-PG,"Comedies, International Movies, Romantic Movies",158,
Movie,Mune: Guardian of the Moon,"Alexandre Heboyan, Benoît Philippon",2014,PG,Children & Family Movies,85,
Movie,Muppets Most Wanted,James Bobin,2014,PG,"Children & Family Movies, Comedies",110,
Movie,Murder Party,Jeremy Saulnier,2007,NR,"Comedies, Cult Movies, Horror Movies",79,
TV Show,Murderous Affairs,,2017,TV-MA,"Crime TV Shows, Docuseries",,3
TV Show,Mutant Busters,,2017,TV-PG,"Kids' TV, TV Comedies",,2
Movie,Mutiny on the Bounty,"Lewis Milestone, Carol Reed",1962,TV-PG,"Action & Adventure, Classic Movies, Dramas",185,
Movie,My Babysitter's a Vampire: The Movie,Bruce McDonald,2010,TV-PG,"Children & Family Movies, Comedies",80,
Movie,My Brother ... Nikhil,Onir,2005,TV-PG,"Dramas, Independent Movies, International Movies",116,
Movie,My Daddy is in Heaven,Waymon Boone,2017,TV-14,"Dramas, Faith & Spirituality",95,
Movie,My Dog is My Guide,Ismail Farouk,2013,TV-14,"Comedies, International Movies",99,
Movie,My Entire High School Sinking Into the Sea,Dash Shaw,2016,PG-13,"Comedies, Independent Movies",77,
Movie,My Ex-Ex,Nathaniel Warsh,2015,TV-MA,"Comedies, Romantic Movies",91,
TV Show,My Hotter Half,,2017,TV-PG,"British TV Shows, International TV Shows, Reality TV",,1
Movie,My Life as a Zucchini,Claude Barras,2016,PG-13,"Comedies, Dramas, International Movies",68,
TV Show,My Life My Story,,2017,TV-14,"International TV Shows, Stand-Up Comedy & Talk Shows",,1
Movie,My Little Pony Equestria Girls: Friendship Games,"Ishi Rudell, Jayson Thiessen",2015,TV-Y,"Children & Family Movies, Comedies",72,
Movie,My Little Pony Equestria Girls: Rainbow Rocks,"Jayson Thiessen, Ishi Rudell",2014,TV-Y,"Children & Family Movies, Comedies",73,
Movie,My Only Mother,Wenn V. Deramas,2013,TV-14,"Comedies, Dramas, International Movies",104,
Movie,"My Schoolmate, the Barbarian","Siu-hung Chung, Wong Jing",2001,TV-14,"Action & Adventure, Comedies, International Movies",90,
Movie,My Scientology Movie,John Dower,2015,TV-MA,Documentaries,99,
Movie,My Sister's Keeper,Nick Cassavetes,2009,PG-13,Dramas,109,
TV Show,My Tattoo Addiction,,2013,TV-MA,"British TV Shows, Docuseries",,1
Movie,My True Friend,Atsajun Sattakovit,2012,TV-MA,"Action & Adventure, Dramas, International Movies",108,
Movie,My Week with Marilyn,Simon Curtis,2011,R,"Dramas, Romantic Movies",99,
Movie,My Wife and My Wifey,Moataz El Tony,2014,TV-14,"Comedies, International Movies",99,
TV Show,Mystery Science Theater 3000,,1999,TV-14,"TV Comedies, TV Sci-Fi & Fantasy",,1
Movie,Mythily Veendum Varunnu,Sabu Varghese,2017,TV-PG,"Horror Movies, International Movies",88,
Movie,Nacho Libre,Jared Hess,2006,PG,"Comedies, Sports Movies",92,
Movie,Naga The Eternal Yogi,"Krishna Agazzi, Filippo Gastaldi",2016,TV-PG,"Documentaries, International Movies",73,
Movie,Nails,Dennis Bartok,2017,TV-MA,Horror Movies,85,
Movie,Naledi: A Baby Elephant's Tale,"Ben Bowie, Geoff Luck",2016,TV-PG,Documentaries,91,
Movie,Namak Halaal,Prakash Mehra,1982,TV-14,"Action & Adventure, Comedies, International Movies",171,
Movie,Namour,Heidi Saman,2016,NR,"Dramas, Independent Movies",80,
Movie,Naruto Shippuden : Blood Prison,Masahiko Murata,2011,TV-14,"Action & Adventure, Anime Features, International Movies",102,
